Location,Cat_A_2023,Cat_B_2023,Cat_C_2023,Cat_D_2023,Avg_Score_2023,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cat_A_diff,Cat_B_diff,Cat_C_diff,Cat_D_diff,Avg_diff
Taipei - Taoyuan,5.76,0.04,7.47,0.73,3.5,5.61,0.07,7.41,1.42,3.63,-0.15,0.03,-0.06,0.69,0.13
Incheon,2.17,0.0,4.74,0.98,1.97,2.6,0.0,4.62,1.78,2.25,0.43,0.0,-0.12,0.8,0.28
Dubai,5.41,4.06,3.6,8.04,5.28,4.49,3.92,3.86,8.41,5.17,-0.92,-0.14,0.26,0.37,-0.11
Jeju,4.21,0.01,3.37,1.13,2.18,3.89,0.28,2.48,1.22,1.97,-0.32,0.27,-0.89,0.09,-0.21
Tel-Aviv,6.25,5.63,7.7,7.53,6.78,6.01,5.88,8.83,7.3,7.0,-0.24,0.25,1.13,-0.23,0.22
Shanghai Pudong,4.1,1.72,1.86,2.28,2.49,4.17,1.76,1.66,2.27,2.46,0.07,0.04,-0.2,-0.01,-0.03
Istanbul Airport,6.67,6.06,8.47,8.39,7.4,5.89,6.15,8.54,8.38,7.24,-0.78,0.09,0.07,-0.01,-0.16
Doha,5.7,10.0,5.22,7.87,6.26,5.24,9.53,5.14,7.18,6.77,-0.46,-0.47,-0.08,-0.69,0.51
Kuwait,7.24,7.73,7.39,9.18,7.88,7.57,8.43,7.62,9.42,8.26,0.33,0.7,0.23,0.24,0.38
Tokyo - Narita,5.68,2.75,7.32,5.61,5.34,5.56,2.85,7.02,4.94,5.09,-0.12,0.1,-0.3,-0.67,-0.25
Antalya Airport,5.49,6.61,8.24,8.33,7.17,4.47,5.52,8.05,8.74,6.7,-1.02,-1.09,-0.19,0.41,-0.47
Hong Kong,6.41,1.18,6.73,0.02,3.58,6.39,0.8,7.14,0.05,3.6,-0.02,-0.38,0.41,0.03,0.02
Amman,7.37,7.21,9.5,8.78,8.22,6.93,6.55,9.54,9.84,8.22,-0.44,-0.66,0.04,1.06,0.0
Tokyo - Haneda,6.42,10.0,7.36,5.55,6.44,6.26,10.0,7.57,5.39,7.3,-0.16,0.0,0.21,-0.16,0.86
Osaka - Kansai,5.52,3.54,5.61,5.28,4.99,6.18,3.41,6.5,5.47,5.39,0.66,-0.13,0.89,0.19,0.4
Beijing,6.67,1.92,3.1,2.58,3.57,6.17,1.32,2.72,2.42,3.16,-0.5,-0.6,-0.38,-0.16,-0.41
Beirut - Rafik Hariri,5.53,10.0,2.85,8.74,5.71,5.76,10.0,3.21,8.59,6.89,0.23,0.0,0.36,-0.15,1.18
Marrakech,7.56,7.18,9.7,8.07,8.13,7.38,6.67,10.0,8.71,8.19,-0.18,-0.51,0.3,0.64,0.06
Istanbul Asia Airport,6.56,6.77,6.69,8.47,7.12,7.29,6.31,7.24,8.06,7.22,0.73,-0.46,0.55,-0.41,0.1
Cairo,6.92,6.23,5.19,8.64,6.74,6.71,6.21,5.05,7.81,6.44,-0.21,-0.02,-0.14,-0.83,-0.3
Everrich Downtown Kinmen,4.85,0.04,0.0,0.0,1.22,5.15,0.43,0.0,0.54,1.53,0.3,0.39,0.0,0.54,0.31
Tenerife,6.67,6.73,8.85,0.0,5.56,6.18,6.02,9.38,0.34,5.48,-0.49,-0.71,0.53,0.34,-0.08
RIYADH,7.33,8.56,6.3,0.0,5.55,7.89,8.45,5.6,0.0,5.48,0.56,-0.11,-0.7,0.0,-0.07
Guangzhou Baiyun,7.44,2.45,5.08,3.09,4.52,7.69,3.85,5.06,3.66,5.07,0.25,1.4,-0.02,0.57,0.55
Addis Ababa,6.06,9.2,9.33,9.87,8.61,6.25,9.33,9.15,9.77,8.62,0.19,0.13,-0.18,-0.1,0.01
Palma De Mallorca,6.0,3.93,8.04,8.45,6.6,5.73,3.8,7.67,8.11,6.33,-0.27,-0.13,-0.37,-0.34,-0.27
Muscat,5.67,10.0,4.53,7.89,6.03,5.98,10.0,4.38,8.11,7.12,0.31,0.0,-0.15,0.22,1.09
Casablanca,7.04,7.48,9.81,8.19,8.13,7.21,7.37,9.77,7.45,7.95,0.17,-0.11,-0.04,-0.74,-0.18
Busan - Kimhae,3.52,0.0,3.4,0.69,1.9,3.19,0.2,3.1,0.64,1.78,-0.33,0.2,-0.3,-0.05,-0.12
Jeddah,6.04,8.56,6.38,9.69,7.67,6.14,8.6,5.82,8.89,7.36,0.1,0.04,-0.56,-0.8,-0.31
Abu Dhabi,5.75,10.0,4.52,8.95,6.41,6.04,9.4,4.89,8.94,7.32,0.29,-0.6,0.37,-0.01,0.91
Alicante,7.33,6.63,7.72,8.25,7.48,7.34,6.38,8.22,8.72,7.66,0.01,-0.25,0.5,0.47,0.18
Gran Canaria,5.33,6.73,8.76,8.29,7.28,5.81,6.63,9.05,7.44,7.23,0.48,-0.1,0.29,-0.85,-0.05
Tunis,6.54,7.48,5.21,8.16,6.85,6.75,7.57,4.79,7.68,6.7,0.21,0.09,-0.42,-0.48,-0.15
Paris Charles De Gaulle,7.62,6.59,7.02,9.71,7.74,7.51,7.02,6.47,9.84,7.71,-0.11,0.43,-0.55,0.13,-0.03
Malaga,7.0,6.44,7.07,9.35,7.46,6.63,5.55,7.24,9.63,7.26,-0.37,-0.89,0.17,0.28,-0.2
Barcelona,7.0,3.36,7.49,3.37,5.31,7.02,4.16,8.22,3.39,5.7,0.02,0.8,0.73,0.02,0.39
Zurich,6.67,7.92,8.32,8.31,7.8,6.27,8.34,9.09,8.66,8.09,-0.4,0.42,0.77,0.35,0.29
Dalaman Airport,5.89,5.11,8.9,6.89,6.7,5.86,5.29,9.63,6.71,6.87,-0.03,0.18,0.73,-0.18,0.17
Manchester,6.67,6.11,6.4,6.31,6.37,6.85,5.65,5.37,6.37,6.06,0.18,-0.46,-1.03,0.06,-0.31
Belgrade,7.5,3.65,2.95,8.85,5.74,7.4,4.02,2.46,9.29,5.79,-0.1,0.37,-0.49,0.44,0.05
Tirana,5.56,6.98,5.57,8.2,6.58,4.33,6.8,5.84,7.68,6.16,-1.23,-0.18,0.27,-0.52,-0.42
Hurgada,6.67,10.0,8.03,7.23,7.31,6.22,9.92,7.83,7.17,7.78,-0.45,-0.08,-0.2,-0.06,0.47
Kuala Lumpur,6.97,5.27,5.49,3.59,5.33,7.1,5.33,4.99,3.76,5.3,0.13,0.06,-0.5,0.17,-0.03
Cancun,7.12,7.3,5.0,8.87,7.07,8.06,7.48,5.73,8.79,7.52,0.94,0.18,0.73,-0.08,0.45
Sharjah,6.67,7.06,4.02,7.41,6.29,6.14,7.5,4.56,6.78,6.24,-0.53,0.44,0.54,-0.63,-0.05
Izmir Airport,6.87,6.71,8.44,8.22,7.56,7.05,5.53,9.08,8.89,7.64,0.18,-1.18,0.64,0.67,0.08
Kaohsiung,6.06,0.04,7.54,0.72,3.59,5.9,0.51,7.65,1.23,3.82,-0.16,0.47,0.11,0.51,0.23
Singapore - Changi,7.44,10.0,5.87,1.67,4.99,7.43,10.0,5.24,1.93,6.15,-0.01,0.0,-0.63,0.26,1.16
Gdansk,5.88,9.5,6.25,9.98,7.9,4.85,10.0,6.28,10.0,7.78,-1.03,0.5,0.03,0.02,-0.12
Krakow Balice,6.04,9.78,6.13,9.95,7.98,5.81,10.0,7.11,10.0,8.23,-0.23,0.22,0.98,0.05,0.25
Riga,6.0,10.0,4.44,5.93,5.46,5.89,9.48,4.22,6.4,6.5,-0.11,-0.52,-0.22,0.47,1.04
Roland Garros,4.81,7.63,8.49,7.5,7.11,4.53,7.3,8.26,7.57,6.92,-0.28,-0.33,-0.23,0.07,-0.19
Dublin,5.0,5.71,7.07,4.18,5.49,5.13,5.83,7.57,4.2,5.68,0.13,0.12,0.5,0.02,0.19
Agadir,7.05,7.14,9.73,7.95,7.97,6.61,7.4,9.39,8.39,7.95,-0.44,0.26,-0.34,0.44,-0.02
Indira Gandhi,6.11,10.0,2.13,9.6,5.95,6.22,9.87,2.75,9.48,7.08,0.11,-0.13,0.62,-0.12,1.13
Paris Orly,6.9,8.25,8.61,9.72,8.37,7.07,7.72,8.83,10.0,8.4,0.17,-0.53,0.22,0.28,0.03
Madrid Barajas,7.33,3.75,7.47,6.52,6.27,7.34,3.39,7.83,6.1,6.17,0.01,-0.36,0.36,-0.42,-0.1
Monastir,5.8,10.0,4.66,9.32,6.59,5.21,10.0,4.21,9.11,7.13,-0.59,0.0,-0.45,-0.21,0.54
London Heathrow,8.1,5.75,5.58,8.28,6.93,8.22,5.96,5.49,8.44,7.03,0.12,0.21,-0.09,0.16,0.1
Warsaw,6.25,9.4,5.94,9.57,7.79,6.26,9.02,5.68,9.2,7.54,0.01,-0.38,-0.26,-0.37,-0.25
Punta Cana - Higuey,6.67,6.64,7.77,9.21,7.57,7.07,6.16,7.23,9.19,7.41,0.4,-0.48,-0.54,-0.02,-0.16
Fukuoka,5.87,3.91,6.45,4.88,5.28,5.68,3.55,5.89,5.15,5.07,-0.19,-0.36,-0.56,0.27,-0.21
London Gatwick,5.56,5.2,6.8,6.56,6.03,5.63,4.67,6.94,6.54,5.94,0.07,-0.53,0.14,-0.02,-0.09
Port Louis,6.67,10.0,9.03,9.27,8.32,7.14,9.85,8.9,9.85,8.94,0.47,-0.15,-0.13,0.58,0.62
Geneva,6.48,8.54,7.88,9.39,8.07,6.57,7.45,7.23,8.96,7.55,0.09,-1.09,-0.65,-0.43,-0.52
Sofia,7.5,1.76,1.06,9.26,4.89,7.35,1.83,0.97,9.53,4.92,-0.15,0.07,-0.09,0.27,0.03
Fuerteventura,6.33,6.73,8.17,7.82,7.26,6.33,6.43,7.69,8.75,7.3,0.0,-0.3,-0.48,0.93,0.04
Fes,6.82,7.79,9.51,8.46,8.14,6.79,7.66,9.36,8.87,8.17,-0.03,-0.13,-0.15,0.41,0.03
Shanghai Hongqiao,6.67,1.72,1.25,2.05,2.92,6.32,0.9,1.27,1.69,2.54,-0.35,-0.82,0.02,-0.36,-0.38
Baghdad,5.49,10.0,1.02,1.19,2.57,5.66,9.98,0.72,1.5,4.46,0.17,-0.02,-0.3,0.31,1.89
Chubu,5.9,3.56,8.34,5.72,5.88,6.06,3.63,8.68,5.88,6.06,0.16,0.07,0.34,0.16,0.18
Macau,6.67,1.49,4.63,2.46,3.81,7.14,1.83,3.84,2.16,3.74,0.47,0.34,-0.79,-0.3,-0.07
DAMMAM,6.89,8.6,6.96,0.0,5.61,6.9,8.5,7.05,0.74,5.8,0.01,-0.1,0.09,0.74,0.19
Frankfurt,6.67,10.0,7.38,10.0,7.02,6.7,9.65,6.58,9.42,8.09,0.03,-0.35,-0.8,-0.58,1.07
Jerba,6.27,7.87,6.37,8.53,7.26,6.13,7.89,6.21,7.93,7.04,-0.14,0.02,-0.16,-0.6,-0.22
Ibiza,6.67,4.93,7.5,9.28,7.1,6.58,4.76,6.6,9.36,6.82,-0.09,-0.17,-0.9,0.08,-0.28
Seoul,3.16,0.0,4.79,0.74,2.17,2.92,0.04,4.76,1.22,2.24,-0.24,0.04,-0.03,0.48,0.07
Oslo,6.67,10.0,5.18,9.59,7.15,6.51,10.0,4.39,8.68,7.4,-0.16,0.0,-0.79,-0.91,0.25
Amsterdam - Schiphol,5.71,10.0,8.35,9.67,7.91,6.41,9.71,8.31,9.92,8.59,0.7,-0.29,-0.04,0.25,0.68
Basel,5.78,8.85,9.61,9.35,8.4,5.28,8.77,9.26,9.21,8.13,-0.5,-0.08,-0.35,-0.14,-0.27
Tangier,7.54,7.65,9.88,8.47,8.38,8.12,7.93,9.94,8.42,8.6,0.58,0.28,0.06,-0.05,0.22
Rabat,7.47,7.33,9.81,8.16,8.19,7.59,7.23,10.0,8.22,8.26,0.12,-0.1,0.19,0.06,0.07
Yerevan,3.33,3.89,1.8,9.26,4.57,2.42,3.38,1.53,9.92,4.31,-0.91,-0.51,-0.27,0.66,-0.26
Katowice,6.0,10.0,5.89,9.97,7.29,6.36,10.0,5.44,10.0,7.95,0.36,0.0,-0.45,0.03,0.66
Ngurah Rai,9.05,3.83,5.11,5.53,5.88,8.94,3.82,4.71,6.0,5.87,-0.11,-0.01,-0.4,0.47,-0.01
Gibraltar,5.83,10.0,7.36,9.86,7.68,6.33,10.0,7.52,10.0,8.46,0.5,0.0,0.16,0.14,0.78
Hangzhou Xiaoshan,5.38,1.81,1.92,2.32,2.86,4.36,2.18,1.48,1.54,2.39,-1.02,0.37,-0.44,-0.78,-0.47
Athens,6.51,6.6,4.26,9.35,6.68,7.07,6.89,3.42,9.29,6.67,0.56,0.29,-0.84,-0.06,-0.01
Rome Fiumicino,6.88,7.91,7.49,9.38,7.92,6.82,7.34,7.4,9.56,7.78,-0.06,-0.57,-0.09,0.18,-0.14
Marsa Aalam,7.27,10.0,0.0,0.0,2.42,6.86,9.76,0.63,0.5,4.44,-0.41,-0.24,0.63,0.5,2.02
Colombo,6.13,5.21,0.0,0.0,2.84,6.32,5.64,0.55,0.0,3.13,0.19,0.43,0.55,0.0,0.29
Wroclaw,6.0,10.0,6.06,9.96,7.34,6.26,10.0,5.14,10.0,7.85,0.26,0.0,-0.92,0.04,0.51
PRISTINA,6.67,10.0,1.96,9.8,6.14,6.27,10.0,2.69,9.84,7.2,-0.4,0.0,0.73,0.04,1.06
London Stansted,7.78,5.75,7.34,6.43,6.82,7.19,6.05,8.04,6.42,6.93,-0.59,0.3,0.7,-0.01,0.11
Mexico City,7.17,6.96,5.36,8.85,7.08,6.8,6.57,6.09,8.53,7.0,-0.37,-0.39,0.73,-0.32,-0.08
Johannesburg,5.76,6.62,5.69,8.68,6.69,6.15,6.66,6.21,9.53,7.14,0.39,0.04,0.52,0.85,0.45
Chattrapati Shivaji,5.79,10.0,1.67,9.6,5.69,5.97,10.0,0.88,9.31,6.54,0.18,0.0,-0.79,-0.29,0.85
Bodrum Airport,6.02,5.71,8.54,7.08,6.84,5.77,5.97,9.06,7.57,7.09,-0.25,0.26,0.52,0.49,0.25
Skopje,6.46,10.0,8.26,8.74,7.82,6.61,10.0,8.64,9.49,8.68,0.15,0.0,0.38,0.75,0.86
Faro Airport,5.0,7.08,6.0,8.07,6.54,4.92,6.56,6.21,7.86,6.39,-0.08,-0.52,0.21,-0.21,-0.15
Hanoi,6.0,0.01,7.08,2.5,3.9,5.39,0.38,6.29,2.94,3.75,-0.61,0.37,-0.79,0.44,-0.15
Milan - Malpensa,6.67,6.47,7.15,8.5,7.2,6.54,6.4,7.9,8.15,7.25,-0.13,-0.07,0.75,-0.35,0.05
Kaunas,8.33,10.0,7.5,9.81,8.55,8.02,10.0,8.37,9.9,9.07,-0.31,0.0,0.87,0.09,0.52
Birmingham,6.67,5.32,6.22,6.62,6.21,7.32,5.16,5.71,6.32,6.13,0.65,-0.16,-0.51,-0.3,-0.08
Salalah,4.95,10.0,4.78,8.61,6.11,4.97,9.66,4.78,8.83,7.06,0.02,-0.34,0.0,0.22,0.95
Vilnius,7.5,10.0,7.26,0.0,4.92,7.27,9.29,7.91,0.0,6.12,-0.23,-0.71,0.65,0.0,1.2
Xiamen Gaoqi,6.36,3.09,3.36,3.76,4.14,6.4,3.2,3.78,3.9,4.32,0.04,0.11,0.42,0.14,0.18
Buenos Aires - Ezeiza,5.76,8.93,8.37,9.13,8.05,5.72,8.88,8.26,9.57,8.11,-0.04,-0.05,-0.11,0.44,0.06
Daegu,4.63,0.02,1.02,0.31,1.5,4.22,0.0,1.66,0.51,1.6,-0.41,-0.02,0.64,0.2,0.1
Oujda,7.14,7.53,9.44,8.38,8.12,8.12,7.26,8.64,9.06,8.27,0.98,-0.27,-0.8,0.68,0.15
Male,5.61,10.0,7.89,8.8,7.43,5.18,10.0,7.87,8.64,7.92,-0.43,0.0,-0.02,-0.16,0.49
Lisbon,6.67,7.08,8.51,9.52,7.94,5.52,7.56,8.8,8.4,7.57,-1.15,0.48,0.29,-1.12,-0.37
Warsaw-Modlin,5.48,0.78,6.11,9.67,5.51,5.73,0.94,6.05,10.0,5.68,0.25,0.16,-0.06,0.33,0.17
Sao Paulo - Guarulhos,7.27,7.7,8.0,9.27,8.06,6.84,7.58,7.08,8.22,7.43,-0.43,-0.12,-0.92,-1.05,-0.63
Santiago Arturo Merino Benitez,6.67,7.6,3.48,7.95,6.42,7.23,7.84,3.48,7.46,6.5,0.56,0.24,0.0,-0.49,0.08
Valencia,6.0,6.77,8.19,8.14,7.28,6.6,6.14,8.32,8.91,7.49,0.6,-0.63,0.13,0.77,0.21
Tuzla,6.67,10.0,0.0,0.0,2.22,5.69,9.53,0.0,0.36,3.89,-0.98,-0.47,0.0,0.36,1.67
Ankara Airport,6.61,6.77,4.99,8.33,6.67,7.36,6.53,4.99,8.56,6.86,0.75,-0.24,0.0,0.23,0.19
Bogota,6.29,6.46,8.77,8.48,7.5,5.96,6.36,9.06,8.41,7.45,-0.33,-0.1,0.29,-0.07,-0.05
Montego Bay,6.49,7.88,5.37,9.03,7.19,6.42,8.38,5.71,9.21,7.43,-0.07,0.5,0.34,0.18,0.24
Ras El Khaymah,5.94,10.0,7.05,8.71,7.23,7.03,10.0,7.4,9.31,8.44,1.09,0.0,0.35,0.6,1.21
Kunming Wujiaba,6.67,2.39,5.47,2.73,4.32,5.71,2.25,6.19,1.9,4.01,-0.96,-0.14,0.72,-0.83,-0.31
Glasgow,6.67,5.3,6.49,6.44,6.22,7.0,5.46,6.92,6.63,6.5,0.33,0.16,0.43,0.19,0.28
Lima,6.67,8.42,5.43,9.42,7.48,6.84,8.92,6.42,9.16,7.84,0.17,0.5,0.99,-0.26,0.36
Newcastle,6.67,4.78,7.19,6.44,6.27,5.82,4.54,7.85,6.02,6.06,-0.85,-0.24,0.66,-0.42,-0.21
Poznan-Lawica,6.0,10.0,6.02,9.97,7.33,5.98,9.07,6.61,9.67,7.83,-0.02,-0.93,0.59,-0.3,0.5
Edinburgh,5.56,5.15,7.6,6.63,6.24,5.67,5.64,7.43,6.88,6.4,0.11,0.49,-0.17,0.25,0.16
Brussels,6.67,9.11,9.55,9.74,8.77,6.43,9.12,9.68,10.0,8.81,-0.24,0.01,0.13,0.26,0.04
Copenhagen,6.67,10.0,7.76,7.66,7.36,7.28,10.0,7.66,7.79,8.18,0.61,0.0,-0.1,0.13,0.82
Pointe-a-Pitre,7.44,9.98,9.08,9.7,9.05,6.78,9.98,8.84,8.85,8.61,-0.66,0.0,-0.24,-0.85,-0.44
Danang,6.67,0.0,3.61,2.36,3.16,7.12,0.33,3.67,3.05,3.54,0.45,0.33,0.06,0.69,0.38
Rhodes,6.33,6.97,3.7,8.54,6.38,6.29,7.42,3.73,8.83,6.57,-0.04,0.45,0.03,0.29,0.19
Liverpool,5.56,5.39,6.77,6.41,6.03,6.12,5.74,6.65,5.54,6.01,0.56,0.35,-0.12,-0.87,-0.02
Sharm El Sheikh,6.96,10.0,6.7,8.32,7.33,7.21,10.0,6.96,7.98,8.04,0.25,0.0,0.26,-0.34,0.71
Fort-de-France,6.67,9.65,9.34,9.7,8.84,6.49,9.28,8.89,10.0,8.66,-0.18,-0.37,-0.45,0.3,-0.18
Prague,5.0,9.25,6.06,9.36,7.42,5.85,8.62,6.43,8.98,7.47,0.85,-0.63,0.37,-0.38,0.05
Munich,6.94,6.74,6.87,9.37,7.48,6.49,6.48,7.36,10.0,7.58,-0.45,-0.26,0.49,0.63,0.1
Espargos,6.39,2.41,9.15,7.19,6.29,6.36,2.61,10.0,6.74,6.43,-0.03,0.2,0.85,-0.45,0.14
Jomo Kenyatta,5.71,7.18,5.98,9.13,7.0,6.3,6.82,5.41,9.12,6.91,0.59,-0.36,-0.57,-0.01,-0.09
London Luton,6.0,4.62,6.44,4.19,5.31,5.59,4.5,6.53,4.53,5.29,-0.41,-0.12,0.09,0.34,-0.02
Pamandzi,6.67,10.0,9.93,9.09,8.56,6.58,9.17,9.93,9.28,8.74,-0.09,-0.83,0.0,0.19,0.18
Porto,7.78,7.51,9.39,8.32,8.25,7.36,7.21,10.0,8.7,8.32,-0.42,-0.3,0.61,0.38,0.07
Erbil International Airport,5.83,10.0,2.88,0.33,3.01,6.04,10.0,2.71,0.0,4.69,0.21,0.0,-0.17,-0.33,1.68
Rzeszow,6.0,10.0,5.95,9.97,7.31,6.62,10.0,6.54,9.3,8.12,0.62,0.0,0.59,-0.67,0.81
Bristol,5.56,5.41,6.89,6.39,6.06,5.3,6.61,6.71,7.12,6.44,-0.26,1.2,-0.18,0.73,0.38
Leopold Sedar Senghar,7.41,8.42,7.68,8.74,8.06,7.19,9.07,8.38,8.17,8.2,-0.22,0.65,0.7,-0.57,0.14
Enfidha,5.3,10.0,5.33,9.08,6.57,5.46,9.78,4.86,9.03,7.28,0.16,-0.22,-0.47,-0.05,0.71
Chengdu Tianfu,5.15,1.94,0.0,0.0,1.77,4.75,1.95,0.29,0.07,1.76,-0.4,0.01,0.29,0.07,-0.01
Sevilla,5.56,3.46,8.31,2.47,4.95,4.16,3.49,8.3,2.3,4.56,-1.4,0.03,-0.01,-0.17,-0.39
Tbilisi,6.15,10.0,8.8,8.69,7.88,5.86,10.0,8.59,8.71,8.29,-0.29,0.0,-0.21,0.02,0.41
Baku,5.76,10.0,7.41,9.28,7.48,5.85,9.75,8.53,9.15,8.32,0.09,-0.25,1.12,-0.13,0.84
Vienna,5.83,10.0,7.02,6.82,6.56,5.12,9.76,7.49,6.95,7.33,-0.71,-0.24,0.47,0.13,0.77
Mahon Airport,6.33,6.06,7.84,8.67,7.22,6.2,6.22,8.3,8.66,7.34,-0.13,0.16,0.46,-0.01,0.12
Ho Chi Minh,5.67,0.49,7.93,2.57,4.16,5.02,0.62,7.45,2.62,3.93,-0.65,0.13,-0.48,0.05,-0.23
Soekarno Hatta,7.92,5.71,1.26,7.21,5.52,8.43,5.42,2.21,7.49,5.89,0.51,-0.29,0.95,0.28,0.37
Xian Xianyang,5.9,1.8,3.86,2.12,3.42,5.79,1.61,3.6,2.08,3.27,-0.11,-0.19,-0.26,-0.04,-0.15
Chitose,6.67,10.0,5.78,5.66,6.04,6.45,9.69,5.57,6.26,6.99,-0.22,-0.31,-0.21,0.6,0.95
Santo Domingo Las Americas,7.26,7.05,8.15,7.88,7.58,6.79,7.24,7.94,7.22,7.3,-0.47,0.19,-0.21,-0.66,-0.28
Curacao,6.05,10.0,6.6,9.36,7.34,5.49,10.0,5.95,9.23,7.67,-0.56,0.0,-0.65,-0.13,0.33
Qingdao Liuting,5.15,2.58,5.16,3.11,4.0,5.23,2.82,5.33,3.02,4.1,0.08,0.24,0.17,-0.09,0.1
Rio de Janeiro,7.42,8.12,7.87,9.13,8.14,8.43,8.24,7.32,8.98,8.24,1.01,0.12,-0.55,-0.15,0.1
Basrah,5.24,10.0,0.25,2.48,2.66,4.74,10.0,0.0,2.4,4.28,-0.5,0.0,-0.25,-0.08,1.62
