Location,Cat_A_2023,Cat_B_2023,Cat_C_2023,Cat_D_2023,Avg_Score_2023,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cat_A_diff,Cat_B_diff,Cat_C_diff,Cat_D_diff,Avg_diff
Lyon Saint Exupery,6.9,6.78,9.11,9.15,7.98,6.18,6.66,9.38,8.28,7.62,-0.72,-0.12,0.27,-0.87,-0.36
Berlin Brandenburg,6.22,10.0,5.78,8.48,6.83,5.3,9.2,6.52,7.62,7.16,-0.92,-0.8,0.74,-0.86,0.33
Stockholm Arlanda,7.78,4.44,5.24,9.7,6.79,8.12,4.32,5.37,10.0,6.95,0.34,-0.12,0.13,0.3,0.16
Phnom Penh,6.67,1.62,4.48,2.75,3.88,7.36,1.91,4.56,2.71,4.14,0.69,0.29,0.08,-0.04,0.26
Corfu,5.88,6.28,3.39,8.58,6.03,6.08,7.14,4.14,9.86,6.8,0.2,0.86,0.75,1.28,0.77
Heraklion Airport,4.91,7.23,3.47,8.62,6.06,5.1,6.83,3.85,8.4,6.04,0.19,-0.4,0.38,-0.22,-0.02
Marseille,7.44,4.83,8.61,9.83,7.68,8.06,3.94,8.06,9.34,7.35,0.62,-0.89,-0.55,-0.49,-0.33
Duesseldorf,6.11,10.0,8.52,8.43,7.69,5.6,9.71,8.44,8.55,8.07,-0.51,-0.29,-0.08,0.12,0.38
Jersey,6.67,1.07,5.08,3.22,4.01,6.4,0.46,4.81,2.56,3.56,-0.27,-0.61,-0.27,-0.66,-0.45
Leeds Bradford,6.67,2.06,6.22,4.4,4.84,7.11,2.08,6.16,4.27,4.9,0.44,0.02,-0.06,-0.13,0.06
Shannon,5.83,10.0,7.29,10.0,6.56,5.5,10.0,7.02,10.0,8.13,-0.33,0.0,-0.27,0.0,1.57
Oranjestad,7.06,7.26,8.85,9.64,8.2,7.52,7.67,9.6,9.69,8.62,0.46,0.41,0.75,0.05,0.42
Cape Town,5.0,6.2,6.11,8.51,6.46,4.81,5.73,7.11,7.75,6.35,-0.19,-0.47,1.0,-0.76,-0.11
Panama Tocumen,5.28,7.54,7.92,8.98,7.43,5.39,7.96,8.77,8.27,7.6,0.11,0.42,0.85,-0.71,0.17
Stavanger,6.83,10.0,5.92,9.58,7.44,7.52,9.91,5.48,8.96,7.97,0.69,-0.09,-0.44,-0.62,0.53
Sandefjord-Torp,6.46,10.0,6.37,8.59,7.14,5.87,9.16,7.0,8.71,7.68,-0.59,-0.84,0.63,0.12,0.54
Urumchi Diwobao,6.3,2.8,9.2,3.39,5.42,7.24,3.51,9.78,2.81,5.84,0.94,0.71,0.58,-0.58,0.42
Cheongju,6.47,0.35,2.89,0.0,2.43,5.73,0.0,3.49,0.84,2.52,-0.74,-0.35,0.6,0.84,0.09
Bydgoszcz,5.33,10.0,6.52,9.97,7.27,5.57,10.0,5.53,9.56,7.67,0.24,0.0,-0.99,-0.41,0.4
Nice,7.62,3.9,6.01,9.4,6.73,9.02,4.11,6.18,9.71,7.26,1.4,0.21,0.17,0.31,0.53
Taichung,6.67,0.04,7.56,0.7,3.74,7.16,0.0,7.63,0.0,3.7,0.49,-0.04,0.07,-0.7,-0.04
East Midlands,4.44,5.14,6.55,6.63,5.69,3.92,5.14,6.66,6.54,5.56,-0.52,0.0,0.11,-0.09,-0.13
Hyderabad,6.5,10.0,2.06,9.16,5.91,6.76,9.72,1.84,9.09,6.85,0.26,-0.28,-0.22,-0.07,0.94
Shenyang Taoxian,6.36,2.09,6.51,2.57,4.38,5.66,1.44,5.99,2.64,3.93,-0.7,-0.65,-0.52,0.07,-0.45
Naples,5.62,8.42,8.04,9.38,7.86,4.76,8.5,8.5,9.08,7.71,-0.86,0.08,0.46,-0.3,-0.15
Gerona,6.0,3.76,8.55,3.16,5.37,6.15,4.14,9.04,3.77,5.78,0.15,0.38,0.49,0.61,0.41
Vientiane,6.67,0.32,4.23,0.99,3.05,6.75,0.95,3.09,0.81,2.9,0.08,0.63,-1.14,-0.18,-0.15
Bourgas,6.67,1.76,0.88,8.73,4.51,6.8,1.77,1.07,8.46,4.53,0.13,0.01,0.19,-0.27,0.02
Togo,5.83,10.0,4.25,8.18,6.09,5.36,10.0,4.05,8.53,6.98,-0.47,0.0,-0.2,0.35,0.89
Cam Ranh,6.67,0.17,1.91,2.43,2.8,7.24,0.02,1.3,3.04,2.9,0.57,-0.15,-0.61,0.61,0.1
Puerto Vallarta,6.94,7.3,2.79,8.02,6.26,7.44,7.3,2.67,8.49,6.48,0.5,0.0,-0.12,0.47,0.22
Reus,6.67,1.13,8.23,3.29,4.83,6.2,0.0,9.11,2.86,4.54,-0.47,-1.13,0.88,-0.43,-0.29
Bangalore,5.62,6.52,1.75,9.51,5.85,5.3,6.63,1.05,10.0,5.74,-0.32,0.11,-0.7,0.49,-0.11
Zakynthos,6.67,5.67,3.62,8.24,6.05,6.34,6.17,3.58,8.98,6.27,-0.33,0.5,-0.04,0.74,0.22
Venice,6.25,8.19,7.5,9.39,7.83,6.97,9.17,7.53,8.94,8.15,0.72,0.98,0.03,-0.45,0.32
Hamburg,5.9,10.0,6.49,9.48,7.29,5.43,9.56,6.85,9.03,7.72,-0.47,-0.44,0.36,-0.45,0.43
Thessaloniki,5.29,6.17,4.49,8.4,6.09,5.15,6.82,3.72,8.11,5.95,-0.14,0.65,-0.77,-0.29,-0.14
Nador,7.56,7.57,9.18,7.72,8.01,7.19,6.97,9.43,7.54,7.78,-0.37,-0.6,0.25,-0.18,-0.23
Kos,7.14,6.21,3.48,8.19,6.25,6.76,6.59,3.02,8.15,6.13,-0.38,0.38,-0.46,-0.04,-0.12
Los Cabos,6.94,7.21,2.96,9.24,6.59,6.76,7.17,2.68,9.12,6.43,-0.18,-0.04,-0.28,-0.12,-0.16
Lublin,7.5,2.5,0.0,0.0,2.5,7.07,3.15,0.2,0.0,2.6,-0.43,0.65,0.2,0.0,0.1
Murcia,7.14,0.15,0.0,0.0,1.82,8.0,0.19,0.18,0.61,2.24,0.86,0.04,0.18,0.61,0.42
Medina,5.56,8.44,6.21,0.0,5.05,6.15,7.71,6.66,0.02,5.14,0.59,-0.73,0.45,0.02,0.09
Cork,5.0,5.71,7.04,4.63,5.6,4.17,6.06,7.67,4.5,5.6,-0.83,0.35,0.63,-0.13,0.0
Chongqing Jiangbei,5.83,0.46,1.27,0.7,2.06,5.3,0.69,1.22,1.36,2.14,-0.53,0.23,-0.05,0.66,0.08
San Salvador Comalapa,5.73,6.5,3.17,8.26,5.92,6.07,7.22,2.99,7.99,6.07,0.34,0.72,-0.18,-0.27,0.15
Rabil,6.67,2.28,7.79,7.26,6.0,7.84,1.7,8.31,7.54,6.35,1.17,-0.58,0.52,0.28,0.35
Sarajevo,5.93,10.0,6.41,9.3,7.21,5.84,9.54,6.94,9.82,8.04,-0.09,-0.46,0.53,0.52,0.83
Shenzhen Bao'an,6.41,0.15,0.85,0.36,1.94,6.48,0.6,0.66,0.74,2.12,0.07,0.45,-0.19,0.38,0.18
Abidjan,8.89,7.55,8.69,8.68,8.45,8.54,7.16,9.4,8.2,8.32,-0.35,-0.39,0.71,-0.48,-0.13
Zia,5.33,10.0,0.52,7.62,4.49,5.16,10.0,1.03,7.35,5.88,-0.17,0.0,0.51,-0.27,1.39
Bergen,6.3,10.0,5.2,9.04,6.85,6.16,10.0,4.36,8.36,7.22,-0.14,0.0,-0.84,-0.68,0.37
Bergamo,6.32,8.21,7.94,9.46,7.98,5.86,8.14,7.33,10.0,7.83,-0.46,-0.07,-0.61,0.54,-0.15
Guayaquil,7.5,7.87,7.69,8.61,7.92,7.14,8.18,7.77,8.13,7.8,-0.36,0.31,0.08,-0.48,-0.12
Alexandria,7.39,10.0,0.0,0.0,2.46,7.14,9.56,0.0,0.08,4.19,-0.25,-0.44,0.0,0.08,1.73
Nis,5.0,7.73,0.0,0.0,3.18,5.42,7.2,0.61,0.0,3.31,0.42,-0.53,0.61,0.0,0.13
Szczecin,5.83,9.67,6.12,9.93,7.89,6.08,10.0,5.76,9.46,7.82,0.25,0.33,-0.36,-0.47,-0.07
Guadalajara,7.31,8.13,3.48,9.18,7.02,8.14,7.9,4.22,9.28,7.38,0.83,-0.23,0.74,0.1,0.36
Billund,6.67,10.0,8.02,1.49,5.39,7.17,9.91,8.25,0.91,6.56,0.5,-0.09,0.23,-0.58,1.17
Wuhan Tianhe,5.71,1.74,1.91,2.23,2.9,5.31,1.96,2.28,2.27,2.95,-0.4,0.22,0.37,0.04,0.05
Guernsey,5.0,0.0,5.57,0.2,2.69,6.09,0.69,5.1,0.0,2.97,1.09,0.69,-0.47,-0.2,0.28
Quito,6.79,3.88,8.51,5.64,6.2,7.08,3.61,8.4,6.09,6.3,0.29,-0.27,-0.11,0.45,0.1
Tashkent,5.33,10.0,1.75,7.82,4.97,5.67,10.0,1.23,8.48,6.34,0.34,0.0,-0.52,0.66,1.37
Santiago Cibao,6.67,6.11,7.53,6.75,6.76,5.63,6.71,7.29,6.29,6.48,-1.04,0.6,-0.24,-0.46,-0.28
Bridgetown,5.5,10.0,7.49,6.75,6.58,5.66,10.0,7.06,6.58,7.32,0.16,0.0,-0.43,-0.17,0.74
Zanzibar,7.5,10.0,9.91,8.39,8.6,8.15,9.91,9.08,8.5,8.91,0.65,-0.09,-0.83,0.11,0.31
Kutaisi,6.19,10.0,8.81,7.22,7.41,7.06,9.81,8.94,7.21,8.26,0.87,-0.19,0.13,-0.01,0.85
Toulouse,7.58,6.26,8.46,9.08,7.85,6.78,5.87,8.66,9.3,7.65,-0.8,-0.39,0.2,0.22,-0.2
Essaouira,7.33,7.96,0.0,0.0,3.82,7.39,8.13,0.0,0.0,3.88,0.06,0.17,0.0,0.0,0.06
Guatemala City,6.06,4.39,1.48,6.14,4.52,5.83,4.53,1.76,5.65,4.44,-0.23,0.14,0.28,-0.49,-0.08
Batumi,5.24,10.0,0.0,0.0,1.75,4.89,9.95,0.39,0.19,3.86,-0.35,-0.05,0.39,0.19,2.11
Bamako,7.5,10.0,5.64,7.5,6.88,7.21,10.0,5.37,8.49,7.77,-0.29,0.0,-0.27,0.99,0.89
Kayseri Airport,6.26,6.0,4.58,7.8,6.16,6.22,5.94,4.27,8.01,6.11,-0.04,-0.06,-0.31,0.21,-0.05
Yanji Zhaoyangchuan,9.05,3.21,7.2,3.69,5.79,9.42,2.78,7.03,3.94,5.79,0.37,-0.43,-0.17,0.25,0.0
Podgorica,7.78,10.0,4.19,10.0,5.98,6.99,10.0,4.63,10.0,7.9,-0.79,0.0,0.44,0.0,1.92
Cayenne,6.67,9.42,9.75,9.53,8.84,6.74,9.55,9.62,9.13,8.76,0.07,0.13,-0.13,-0.4,-0.08
San Jose,5.83,10.0,7.2,9.4,7.48,6.16,9.65,7.78,9.66,8.31,0.33,-0.35,0.58,0.26,0.83
Ciampino Airport,5.56,8.62,7.94,9.8,7.98,4.75,8.08,8.28,9.79,7.72,-0.81,-0.54,0.34,-0.01,-0.26
Chania,6.67,4.27,3.71,7.7,5.59,6.7,3.87,3.57,7.85,5.5,0.03,-0.4,-0.14,0.15,-0.09
Changsha Huanghua,5.83,1.94,2.61,2.37,3.19,6.41,1.41,2.05,3.32,3.3,0.58,-0.53,-0.56,0.95,0.11
Brno,6.0,10.0,5.92,8.55,6.82,5.81,10.0,5.93,8.05,7.45,-0.19,0.0,0.01,-0.5,0.63
Aswan,8.03,10.0,6.07,8.99,7.7,8.43,9.93,6.61,9.13,8.52,0.4,-0.07,0.54,0.14,0.82
Varna,6.67,1.76,1.13,8.85,4.6,6.64,2.05,0.89,8.78,4.59,-0.03,0.29,-0.24,-0.07,-0.01
Bilbao,7.0,1.95,8.04,9.69,6.67,7.26,2.34,7.83,9.55,6.74,0.26,0.39,-0.21,-0.14,0.07
Trabzon Airport,6.18,6.27,9.33,8.48,7.56,5.63,6.81,9.1,8.1,7.41,-0.55,0.54,-0.23,-0.38,-0.15
Suleymania Airport,5.0,10.0,0.41,3.11,2.84,5.3,10.0,0.0,3.27,4.64,0.3,0.0,-0.41,0.16,1.8
Lodz,6.88,8.0,6.36,10.0,7.08,6.56,7.91,6.61,10.0,7.77,-0.32,-0.09,0.25,0.0,0.69
Alexandoupolis,5.0,4.65,0.0,0.0,2.41,5.53,4.45,0.0,0.92,2.72,0.53,-0.2,0.0,0.92,0.31
Montpellier,6.67,10.0,9.44,8.37,8.16,7.02,10.0,9.45,8.72,8.8,0.35,0.0,0.01,0.35,0.64
Ulaanbaatar,6.67,3.91,1.94,7.9,5.11,7.27,3.23,2.36,7.8,5.16,0.6,-0.68,0.42,-0.1,0.05
Nantes,7.5,4.11,8.22,8.7,7.13,6.62,4.18,7.95,8.44,6.8,-0.88,0.07,-0.27,-0.26,-0.33
Santorini,7.18,5.27,4.42,8.73,6.4,6.79,5.78,4.75,8.1,6.36,-0.39,0.51,0.33,-0.63,-0.04
Entebbe,4.81,10.0,3.16,8.55,5.51,4.69,9.91,3.19,8.46,6.56,-0.12,-0.09,0.03,-0.09,1.05
Paramaribo,5.38,10.0,4.28,4.91,4.86,6.26,9.62,3.78,4.79,6.11,0.88,-0.38,-0.5,-0.12,1.25
Changchun Longjia,7.33,1.05,6.3,1.46,4.04,6.89,0.6,6.31,0.77,3.64,-0.44,-0.45,0.01,-0.69,-0.4
Stuttgart,5.0,6.53,8.41,8.04,7.0,5.26,6.34,8.55,8.41,7.14,0.26,-0.19,0.14,0.37,0.14
Santiago De Compostela,7.33,3.96,9.43,2.75,5.87,7.32,4.39,9.73,2.3,5.94,-0.01,0.43,0.3,-0.45,0.07
Buenos Aires Aeroparque,5.76,10.0,8.03,8.32,7.37,5.55,10.0,8.1,8.15,7.95,-0.21,0.0,0.07,-0.17,0.58
Cochin,5.71,10.0,1.43,8.79,5.31,6.27,9.81,0.85,8.02,6.24,0.56,-0.19,-0.58,-0.77,0.93
Moscow - Vnukovo,6.36,3.51,4.11,5.0,4.74,6.45,3.06,3.77,5.12,4.6,0.09,-0.45,-0.34,0.12,-0.14
Hannover,5.9,10.0,8.61,9.48,8.0,6.7,10.0,8.7,9.05,8.61,0.8,0.0,0.09,-0.43,0.61
Bordeaux,7.22,4.65,6.43,7.06,6.34,7.11,5.83,6.58,7.06,6.64,-0.11,1.18,0.15,0.0,0.3
Accra,6.11,6.75,5.74,8.32,6.73,6.04,7.66,5.14,9.1,6.98,-0.07,0.91,-0.6,0.78,0.25
Verona,6.67,9.41,8.21,9.81,8.52,7.12,9.07,7.77,9.24,8.3,0.45,-0.34,-0.44,-0.57,-0.22
Cali,6.67,2.45,7.47,8.71,6.32,6.37,2.38,7.47,9.23,6.36,-0.3,-0.07,0.0,0.52,0.04
Antalya Gazipasa Airport,6.01,4.58,8.43,6.8,6.46,5.27,3.18,7.94,6.14,5.63,-0.74,-1.4,-0.49,-0.66,-0.83
Changzhou Benniu,7.22,0.78,4.83,1.28,3.53,7.0,0.9,4.98,0.79,3.42,-0.22,0.12,0.15,-0.49,-0.11
Almaty,6.67,0.12,3.33,4.67,3.7,7.13,0.45,3.37,4.56,3.88,0.46,0.33,0.04,-0.11,0.18
Montevideo,3.33,0.0,0.45,5.6,2.34,3.13,0.04,0.0,5.5,2.17,-0.2,0.04,-0.45,-0.1,-0.17
Kralendijk (Bonaire),5.19,10.0,9.8,8.96,7.98,5.33,9.8,9.63,9.17,8.48,0.14,-0.2,-0.17,0.21,0.5
Trondheim,6.67,10.0,7.47,9.27,7.8,6.38,10.0,7.49,9.58,8.36,-0.29,0.0,0.02,0.31,0.56
Manas,5.0,5.84,3.18,8.0,5.5,3.6,5.51,2.27,8.22,4.9,-1.4,-0.33,-0.91,0.22,-0.6
Sfax,7.29,4.82,4.13,8.55,6.2,5.97,5.08,4.37,9.52,6.24,-1.32,0.26,0.24,0.97,0.04
Ningbo Lishe,5.83,2.57,0.23,3.0,2.91,5.83,2.87,0.0,2.67,2.84,0.0,0.3,-0.23,-0.33,-0.07
Gaziantep Airport,6.44,5.41,4.48,7.98,6.08,6.06,4.75,4.95,7.41,5.79,-0.38,-0.66,0.47,-0.57,-0.29
Nuernberg,8.18,6.13,7.81,7.43,7.39,8.06,4.99,7.32,7.71,7.02,-0.12,-1.14,-0.49,0.28,-0.37
Aberdeen,5.56,5.43,6.74,6.16,5.97,4.97,5.13,6.84,6.77,5.93,-0.59,-0.3,0.1,0.61,-0.04
Olsztyn,4.79,8.18,0.0,0.0,3.24,4.69,7.67,0.26,0.19,3.2,-0.1,-0.51,0.26,0.19,-0.04
Moscow - Sheremetyevo,5.56,10.0,0.72,0.18,2.15,5.77,10.0,1.44,0.26,4.37,0.21,0.0,0.72,0.08,2.22
Johor Bahru,6.0,5.62,4.85,3.6,5.02,5.93,4.55,4.7,4.14,4.83,-0.07,-1.07,-0.15,0.54,-0.19
Naha,6.19,10.0,5.19,2.62,4.67,6.26,9.68,4.67,2.89,5.88,0.07,-0.32,-0.52,0.27,1.21
Puerto Plata,6.67,7.11,4.42,8.32,6.63,7.35,7.66,5.05,8.51,7.14,0.68,0.55,0.63,0.19,0.51
Split,8.33,10.0,6.26,10.0,7.3,8.34,9.84,6.01,10.0,8.55,0.01,-0.16,-0.25,0.0,1.25
Samsun Airport,6.32,5.3,5.29,8.37,6.32,6.54,5.4,4.74,8.33,6.25,0.22,0.1,-0.55,-0.04,-0.07
Manila - Ninoy Aquino,7.5,10.0,8.61,8.41,8.17,7.31,9.29,9.5,8.77,8.72,-0.19,-0.71,0.89,0.36,0.55
Yantai Penglai,7.33,3.43,5.56,3.97,5.07,7.16,3.8,4.83,4.95,5.18,-0.17,0.37,-0.73,0.98,0.11
Almeria,7.5,4.97,8.1,0.78,5.34,7.06,4.9,8.0,1.77,5.43,-0.44,-0.07,-0.1,0.99,0.09
Medellin Jose Maria Cordova,5.6,10.0,7.57,8.93,7.37,5.78,8.94,7.12,8.43,7.57,0.18,-1.06,-0.45,-0.5,0.2
Bologna,6.67,10.0,7.99,10.0,7.33,6.96,9.92,8.23,10.0,8.78,0.29,-0.08,0.24,0.0,1.45
Praia,6.36,3.94,9.64,7.26,6.8,6.68,4.54,9.43,6.35,6.75,0.32,0.6,-0.21,-0.91,-0.05
Piarco,6.14,0.72,2.03,3.05,2.98,5.89,0.49,2.62,3.08,3.02,-0.25,-0.23,0.59,0.03,0.04
La Palma,5.42,5.8,9.02,8.07,7.08,5.92,5.98,8.85,8.23,7.24,0.5,0.18,-0.17,0.16,0.16
Gabon,7.5,9.37,8.07,9.39,8.58,7.39,9.32,7.91,9.26,8.47,-0.11,-0.05,-0.16,-0.13,-0.11
Dar Es Salaam,7.78,6.64,5.58,9.56,7.39,7.4,6.5,5.16,9.51,7.14,-0.38,-0.14,-0.42,-0.05,-0.25
Southampton,3.33,0.5,5.01,1.95,2.7,2.87,1.48,4.36,2.03,2.68,-0.46,0.98,-0.65,0.08,-0.02
Pisa,6.48,6.84,8.64,9.79,7.94,6.12,6.86,8.03,10.0,7.75,-0.36,0.02,-0.61,0.21,-0.19
Mykonos,7.33,4.21,3.67,8.22,5.86,6.73,3.55,3.91,8.18,5.59,-0.6,-0.66,0.24,-0.04,-0.27
Windhoek,6.11,10.0,9.69,8.85,8.22,5.6,9.26,9.38,9.65,8.47,-0.51,-0.74,-0.31,0.8,0.25
Cardiff,4.44,4.02,7.35,6.43,5.56,4.7,3.46,7.71,6.15,5.51,0.26,-0.56,0.36,-0.28,-0.05
Charleroi,7.78,9.11,9.31,9.95,9.04,7.3,9.16,9.62,10.0,9.02,-0.48,0.05,0.31,0.05,-0.02
Penang,5.71,0.44,5.17,1.76,3.27,6.32,0.83,5.74,2.43,3.83,0.61,0.39,0.57,0.67,0.56
Aqaba,6.44,5.46,0.0,0.0,2.98,6.56,5.27,0.06,0.53,3.1,0.12,-0.19,0.06,0.53,0.12
Wenzhou Longwan,6.3,0.24,0.78,0.42,1.94,5.91,0.34,0.06,0.22,1.63,-0.39,0.1,-0.72,-0.2,-0.31
Adana Airport,5.45,7.0,3.74,8.0,6.05,6.04,6.48,4.22,8.58,6.33,0.59,-0.52,0.48,0.58,0.28
Fuzhou Changle,8.67,1.05,3.93,1.52,3.79,8.17,1.41,4.54,2.27,4.1,-0.5,0.36,0.61,0.75,0.31
Luxor,7.25,10.0,6.54,7.52,7.1,7.56,9.59,5.77,7.98,7.72,0.31,-0.41,-0.77,0.46,0.62
Belize City,4.87,10.0,2.33,0.31,2.5,5.88,10.0,2.74,0.0,4.65,1.01,0.0,0.41,-0.31,2.15
Beauvais,6.25,2.94,8.41,6.59,6.05,5.67,2.96,8.72,7.27,6.16,-0.58,0.02,0.31,0.68,0.11
Milan - Linate,6.47,8.61,6.06,9.27,7.6,6.7,8.08,5.95,9.81,7.64,0.23,-0.53,-0.11,0.54,0.04
Skiathos,6.19,5.2,0.0,0.0,2.85,5.97,6.29,0.44,0.0,3.18,-0.22,1.09,0.44,0.0,0.33
Cologne,6.06,7.24,7.98,9.76,7.76,6.01,6.75,7.58,8.91,7.31,-0.05,-0.49,-0.4,-0.85,-0.45
Nanning Wuxu,7.33,0.68,8.88,1.24,4.53,6.96,0.88,8.74,0.59,4.29,-0.37,0.2,-0.14,-0.65,-0.24
Sanya Fenghuang,7.33,5.73,8.45,6.31,6.95,7.03,4.98,8.41,6.69,6.78,-0.3,-0.75,-0.04,0.38,-0.17
Ohrid,5.45,10.0,0.0,0.0,1.82,5.27,9.26,0.0,0.35,3.72,-0.18,-0.74,0.0,0.35,1.9
Managua,6.67,1.34,5.37,7.42,5.2,6.48,1.03,5.43,6.65,4.9,-0.19,-0.31,0.06,-0.77,-0.3
Banjul,7.22,5.16,6.3,8.69,6.84,8.21,6.18,6.42,8.37,7.3,0.99,1.02,0.12,-0.32,0.46
Melbourne,6.36,10.0,8.17,5.45,6.66,5.81,9.96,8.3,5.35,7.36,-0.55,-0.04,0.13,-0.1,0.7
Astana,6.3,8.53,3.31,0.0,4.53,6.01,8.75,3.65,0.0,4.6,-0.29,0.22,0.34,0.0,0.07
Aktio,6.67,2.88,0.0,0.0,2.39,6.61,2.44,0.26,0.36,2.42,-0.06,-0.44,0.26,0.36,0.03
Fortaleza,7.2,7.42,8.69,9.25,8.14,6.51,7.04,9.26,9.77,8.14,-0.69,-0.38,0.57,0.52,0.0
Bandaranaike,5.78,10.0,2.26,7.44,5.16,7.08,10.0,2.66,8.39,7.03,1.3,0.0,0.4,0.95,1.87
London City,6.67,8.38,5.74,7.73,7.13,7.01,8.5,5.31,7.34,7.04,0.34,0.12,-0.43,-0.39,-0.09
Kingston,6.41,10.0,5.07,3.1,4.86,6.95,10.0,4.51,3.44,6.22,0.54,0.0,-0.56,0.34,1.36
Moscow - Domodedovo,5.67,1.43,4.6,4.62,4.08,5.09,2.38,4.5,5.53,4.38,-0.58,0.95,-0.1,0.91,0.3
Siem Reap,7.67,1.51,5.25,3.11,4.38,7.9,1.88,5.29,3.69,4.69,0.23,0.37,0.04,0.58,0.31
Palermo,5.95,3.67,6.63,8.27,6.13,6.1,3.3,6.35,9.13,6.22,0.15,-0.37,-0.28,0.86,0.09
Jerez De La Frontera,5.83,6.23,7.58,7.66,6.82,6.69,6.52,7.95,8.4,7.39,0.86,0.29,0.37,0.74,0.57
