Location,Cat_A_2023,Cat_B_2023,Cat_C_2023,Cat_D_2023,Avg_Score_2023,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cat_A_diff,Cat_B_diff,Cat_C_diff,Cat_D_diff,Avg_diff
Faroe Islands,5.56,10.0,8.67,5.69,6.64,5.43,10.0,8.55,5.61,7.4,-0.13,0.0,-0.12,-0.08,0.76
Ouarzazate,8.48,8.5,0.0,0.0,4.24,7.97,8.66,0.39,0.07,4.27,-0.51,0.16,0.39,0.07,0.03
Astrakhan,6.41,3.66,2.12,5.23,4.36,5.91,3.42,2.58,4.36,4.07,-0.5,-0.24,0.46,-0.87,-0.29
Hefei Xinqiao,5.56,0.22,9.12,0.45,3.84,5.43,0.41,9.18,0.29,3.83,-0.13,0.19,0.06,-0.16,-0.01
Lubumbashi,8.33,10.0,9.65,0.0,5.99,7.93,9.13,9.19,0.1,6.59,-0.4,-0.87,-0.46,0.1,0.6
Tulear,5.0,0.0,0.0,0.0,1.25,4.44,0.0,0.88,0.93,1.56,-0.56,0.0,0.88,0.93,0.31
Helsinki-Vantaa,8.33,10.0,9.06,9.44,8.94,7.78,10.0,9.37,9.16,9.08,-0.55,0.0,0.31,-0.28,0.14
Wuxi Shuofang,5.0,0.78,0.12,1.27,1.79,4.23,1.23,1.18,1.36,2.0,-0.77,0.45,1.06,0.09,0.21
Wellington,7.5,10.0,6.68,2.94,5.71,7.48,9.54,7.2,3.41,6.91,-0.02,-0.46,0.52,0.47,1.2
Zagreb,6.67,10.0,7.12,10.0,6.9,6.4,9.88,6.45,9.78,8.13,-0.27,-0.12,-0.67,-0.22,1.23
Diyarbakir Airport,6.14,4.95,4.9,8.07,6.02,5.9,5.11,5.39,7.3,5.93,-0.24,0.16,0.49,-0.77,-0.09
Jinan Xiaoqiang,5.0,1.26,2.52,1.76,2.64,4.95,0.86,2.33,1.36,2.38,-0.05,-0.4,-0.19,-0.4,-0.26
Salzburg,6.25,10.0,5.86,10.0,6.06,6.64,9.35,7.0,9.95,8.24,0.39,-0.65,1.14,-0.05,2.18
Eindhoven,5.56,10.0,7.17,9.76,7.5,5.8,9.0,6.29,9.91,7.75,0.24,-1.0,-0.88,0.15,0.25
Florence,5.88,8.69,6.34,9.76,7.67,6.61,8.16,6.27,10.0,7.76,0.73,-0.53,-0.07,0.24,0.09
Dubrovnik,10.0,10.0,6.35,10.0,6.35,10.0,9.76,5.92,10.0,8.92,0.0,-0.24,-0.43,0.0,2.57
Zhengzhou Xinzheng,8.0,1.05,3.04,1.35,3.36,7.89,0.4,3.57,1.8,3.42,-0.11,-0.65,0.53,0.45,0.06
Santander,7.33,2.21,7.51,7.28,6.08,8.21,2.23,6.68,6.52,5.91,0.88,0.02,-0.83,-0.76,-0.17
St. Petersburg Pulkovo,4.33,3.7,3.86,7.28,4.79,5.09,2.95,3.31,7.64,4.75,0.76,-0.75,-0.55,0.36,-0.04
Krasnoyarsk,6.67,5.23,2.59,3.9,4.6,7.37,5.01,3.08,3.97,4.86,0.7,-0.22,0.49,0.07,0.26
Conakry,6.3,10.0,8.61,7.5,7.47,6.13,10.0,8.32,7.49,7.98,-0.17,0.0,-0.29,-0.01,0.51
Bournemouth,4.44,4.29,6.59,6.38,5.42,4.9,4.85,7.07,6.86,5.92,0.46,0.56,0.48,0.48,0.5
Lagos,6.67,5.97,6.13,8.77,6.88,6.78,6.67,5.46,8.52,6.86,0.11,0.7,-0.67,-0.25,-0.02
Viracopos,7.2,8.07,9.25,9.6,8.53,7.14,7.57,9.4,9.9,8.5,-0.06,-0.5,0.15,0.3,-0.03
Kota Kinabalu,3.81,3.22,4.24,1.94,3.3,4.18,3.75,3.88,2.33,3.53,0.37,0.53,-0.36,0.39,0.23
Nouakchott,6.67,7.76,6.13,8.51,7.27,6.51,8.29,5.87,8.3,7.24,-0.16,0.53,-0.26,-0.21,-0.03
Monterrey,6.55,8.08,1.53,9.33,6.37,5.68,8.43,2.26,8.92,6.32,-0.87,0.35,0.73,-0.41,-0.05
La Romana,7.02,4.7,7.3,5.86,6.22,6.71,5.26,7.41,5.74,6.28,-0.31,0.56,0.11,-0.12,0.06
Dresden,6.0,4.28,6.54,9.0,6.46,6.66,4.63,5.82,8.91,6.5,0.66,0.35,-0.72,-0.09,0.04
Bremen,6.11,2.06,7.39,6.38,5.48,6.41,1.88,7.08,6.32,5.42,0.3,-0.18,-0.31,-0.06,-0.06
Torino,6.67,10.0,7.42,10.0,7.04,6.31,10.0,6.85,10.0,8.29,-0.36,0.0,-0.57,0.0,1.25
Niamey,5.93,10.0,3.64,9.08,6.22,6.52,10.0,3.3,9.6,7.36,0.59,0.0,-0.34,0.52,1.14
Bari,6.67,10.0,7.82,10.0,7.24,6.48,9.88,7.13,10.0,8.37,-0.19,-0.12,-0.69,0.0,1.13
Perth,5.26,6.03,6.67,7.37,6.33,4.69,6.15,6.62,6.72,6.04,-0.57,0.12,-0.05,-0.65,-0.29
Cozumel,7.59,7.05,2.08,8.79,6.38,7.22,6.61,1.68,9.14,6.16,-0.37,-0.44,-0.4,0.35,-0.22
Djibouti,6.0,0.0,0.0,0.0,1.5,6.1,0.0,0.0,0.4,1.62,0.1,0.0,0.0,0.4,0.12
Port-au-Prince (Haiti),6.0,10.0,4.65,8.34,6.33,6.39,9.67,4.35,7.4,6.95,0.39,-0.33,-0.3,-0.94,0.62
Sochi,5.56,2.83,2.87,5.49,4.19,5.27,3.91,2.31,6.0,4.37,-0.29,1.08,-0.56,0.51,0.18
Durban,4.17,6.1,4.08,9.07,5.86,4.04,7.05,4.8,8.68,6.14,-0.13,0.95,0.72,-0.39,0.28
Yangon,7.08,0.62,6.71,1.29,3.92,6.82,0.82,6.47,1.11,3.8,-0.26,0.2,-0.24,-0.18,-0.12
Sendai,5.93,10.0,6.22,0.24,4.13,6.28,9.99,6.56,0.61,5.86,0.35,-0.01,0.34,0.37,1.73
Madeira,6.11,6.18,6.69,8.3,6.82,6.19,6.67,6.33,8.46,6.91,0.08,0.49,-0.36,0.16,0.09
Asturias,7.22,5.81,8.45,9.91,7.85,7.1,6.08,8.07,9.59,7.71,-0.12,0.27,-0.38,-0.32,-0.14
Volgograd,6.67,7.49,2.97,9.38,6.63,7.0,8.32,2.67,8.97,6.74,0.33,0.83,-0.3,-0.41,0.11
Mendoza,5.83,10.0,5.67,9.3,6.93,5.73,9.72,4.54,8.91,7.22,-0.1,-0.28,-1.13,-0.39,0.29
Lille,7.14,1.75,9.15,8.12,6.54,7.03,1.69,8.88,7.59,6.3,-0.11,-0.06,-0.27,-0.53,-0.24
Salvador,6.8,8.22,7.02,9.17,7.8,6.0,8.24,7.04,9.21,7.62,-0.8,0.02,0.02,0.04,-0.18
Takamatsu,6.0,10.0,6.63,1.81,4.81,6.63,9.57,6.6,2.18,6.24,0.63,-0.43,-0.03,0.37,1.43
Cordoba,5.71,10.0,8.17,9.76,7.88,5.43,10.0,8.45,9.53,8.35,-0.28,0.0,0.28,-0.23,0.47
Exeter,6.67,4.82,7.16,6.65,6.32,7.11,4.54,7.2,6.23,6.27,0.44,-0.28,0.04,-0.42,-0.05
Kilimanjaro,7.41,8.14,7.92,9.44,8.23,7.97,7.69,7.57,8.41,7.91,0.56,-0.45,-0.35,-1.03,-0.32
Douala,5.83,10.0,8.17,9.93,7.98,6.53,10.0,8.78,9.79,8.78,0.7,0.0,0.61,-0.14,0.8
Weihai Dashuibo,6.67,0.53,5.07,0.96,3.31,6.4,0.0,5.1,1.88,3.34,-0.27,-0.53,0.03,0.92,0.03
Brisbane,5.45,10.0,7.85,9.4,7.57,5.85,10.0,7.9,8.0,7.94,0.4,0.0,0.05,-1.4,0.37
Lusaka,5.0,10.0,0.75,9.64,5.13,5.05,10.0,0.6,9.87,6.38,0.05,0.0,-0.15,0.23,1.25
Antigua,6.67,10.0,7.82,8.25,7.58,6.63,10.0,8.33,7.26,8.06,-0.04,0.0,0.51,-0.99,0.48
Munster-Osnabruck,6.33,10.0,6.74,7.35,6.81,5.33,9.77,6.67,7.49,7.32,-1.0,-0.23,-0.07,0.14,0.51
Rotterdam,7.78,10.0,9.71,9.06,8.85,8.01,9.39,9.71,10.0,9.28,0.23,-0.61,0.0,0.94,0.43
Paderborn,3.33,0.05,9.25,4.98,4.4,3.58,0.9,9.52,5.73,4.93,0.25,0.85,0.27,0.75,0.53
Phu Quok,7.67,0.09,6.97,1.29,4.0,8.06,0.0,6.94,1.64,4.16,0.39,-0.09,-0.03,0.35,0.16
Genoa,6.19,10.0,7.55,8.06,7.27,6.97,10.0,6.87,8.15,8.0,0.78,0.0,-0.68,0.09,0.73
Kigali,5.0,10.0,2.57,4.95,4.17,4.66,10.0,2.44,3.96,5.26,-0.34,0.0,-0.13,-0.99,1.09
Dortmund,6.41,10.0,8.23,9.64,8.09,6.65,10.0,8.03,10.0,8.67,0.24,0.0,-0.2,0.36,0.58
Mombasa,5.71,10.0,8.64,9.76,8.04,5.65,10.0,9.46,9.34,8.61,-0.06,0.0,0.82,-0.42,0.57
Malmo,6.67,0.56,6.52,8.32,5.52,7.34,0.74,6.37,7.55,5.5,0.67,0.18,-0.15,-0.77,-0.02
Mazatlan,7.44,5.22,2.37,8.46,5.87,6.82,4.85,2.9,8.67,5.81,-0.62,-0.37,0.53,0.21,-0.06
Dalian Zhoushuizi,7.78,0.0,0.0,0.0,1.94,6.64,0.11,0.35,0.01,1.78,-1.14,0.11,0.35,0.01,-0.16
Mudanjiang Hailang,7.22,1.27,7.82,1.63,4.49,6.85,1.32,7.72,0.97,4.22,-0.37,0.05,-0.1,-0.66,-0.27
La Paz Manuel Marquez de Leon,6.53,9.04,2.47,9.16,6.8,7.55,9.0,2.25,8.85,6.91,1.02,-0.04,-0.22,-0.31,0.11
Konya Airport,6.13,6.43,6.8,8.07,6.86,5.94,6.13,6.94,7.92,6.73,-0.19,-0.3,0.14,-0.15,-0.13
Hiroshima,6.67,10.0,6.38,0.43,4.49,5.67,10.0,6.73,1.12,5.88,-1.0,0.0,0.35,0.69,1.39
Okayama,5.93,10.0,4.11,0.0,3.35,6.22,9.51,4.38,0.0,5.03,0.29,-0.49,0.27,0.0,1.68
Nanchang Changbei,8.33,3.83,8.53,0.0,5.17,8.5,4.43,8.75,0.0,5.42,0.17,0.6,0.22,0.0,0.25
Belo Horizonte,6.77,7.02,9.27,9.35,8.1,6.78,6.98,9.1,10.0,8.22,0.01,-0.04,-0.17,0.65,0.12
Pula,5.0,10.0,5.28,10.0,5.14,4.95,10.0,4.33,9.81,7.27,-0.05,0.0,-0.95,-0.19,2.13
Liberia,4.17,10.0,8.74,8.16,7.02,3.47,9.96,7.59,8.51,7.38,-0.7,-0.04,-1.15,0.35,0.36
Abuja,6.67,6.0,4.02,8.16,6.21,6.57,6.35,3.76,9.1,6.44,-0.1,0.35,-0.26,0.94,0.23
Yangyang,5.42,0.0,0.0,0.0,1.36,5.39,0.0,0.15,0.0,1.38,-0.03,0.0,0.15,0.0,0.02
A Coruna,8.0,4.22,9.57,9.33,7.78,7.86,4.06,10.0,9.57,7.87,-0.14,-0.16,0.43,0.24,0.09
Norwich,7.33,0.08,5.31,1.56,3.57,7.3,0.0,4.98,1.94,3.56,-0.03,-0.08,-0.33,0.38,-0.01
Aalborg,7.5,0.0,7.26,6.91,5.42,7.83,0.86,6.74,8.1,5.88,0.33,0.86,-0.52,1.19,0.46
Auckland,4.44,0.0,0.0,0.0,1.11,4.0,0.13,0.0,0.0,1.03,-0.44,0.13,0.0,0.0,-0.08
Treviso,5.56,0.01,2.96,6.46,3.75,5.87,0.32,3.05,6.74,4.0,0.31,0.31,0.09,0.28,0.25
Ramon,6.44,10.0,0.0,0.0,2.15,5.72,10.0,0.0,0.0,3.93,-0.72,0.0,0.0,0.0,1.78
Ekaterinburg,5.83,0.0,3.08,3.35,3.06,6.2,0.14,2.72,3.13,3.05,0.37,0.14,-0.36,-0.22,-0.01
Kutahya Airport,5.68,4.41,0.0,0.0,2.52,5.31,3.76,0.74,0.0,2.45,-0.37,-0.65,0.74,0.0,-0.07
Samana El Catey,7.19,3.89,0.0,0.0,2.77,7.56,4.08,0.0,0.0,2.91,0.37,0.19,0.0,0.0,0.14
Minsk,5.56,10.0,0.16,0.04,1.92,5.32,9.7,1.56,0.15,4.18,-0.24,-0.3,1.4,0.11,2.26
Humberside,6.67,2.19,0.0,0.0,2.22,6.8,2.62,0.44,0.49,2.59,0.13,0.43,0.44,0.49,0.37
Min Vody,7.41,1.91,3.25,5.0,4.39,8.04,2.39,3.01,5.63,4.77,0.63,0.48,-0.24,0.63,0.38
St. George's Point Saline,6.96,6.37,9.6,8.37,7.82,6.95,6.07,10.0,8.2,7.8,-0.01,-0.3,0.4,-0.17,-0.02
Katima Mulilo,5.0,0.0,0.0,0.0,1.25,5.34,0.0,0.0,0.1,1.36,0.34,0.0,0.0,0.1,0.11
Graz,6.25,10.0,7.84,8.91,7.67,6.81,10.0,8.28,8.94,8.51,0.56,0.0,0.44,0.03,0.84
Kavala,6.11,2.69,0.0,0.0,2.2,6.22,3.25,0.0,0.0,2.37,0.11,0.56,0.0,0.0,0.17
Natal,6.55,4.03,9.39,7.8,6.94,6.62,4.11,10.0,7.37,7.02,0.07,0.08,0.61,-0.43,0.08
Florianopolis,6.11,8.42,2.22,9.31,6.52,6.27,8.17,1.67,9.79,6.48,0.16,-0.25,-0.55,0.48,-0.04
Grenoble,7.22,0.0,0.0,0.0,1.8,8.06,0.32,0.19,0.11,2.17,0.84,0.32,0.19,0.11,0.37
Ostrava,7.22,7.48,0.0,0.0,3.68,6.73,7.77,0.19,0.02,3.68,-0.49,0.29,0.19,0.02,0.0
Sydney,7.14,10.0,3.63,2.6,4.46,6.67,10.0,3.29,1.93,5.47,-0.47,0.0,-0.34,-0.67,1.01
Tarbes - Lourdes,6.67,2.84,0.0,0.0,2.38,6.43,3.31,0.14,0.31,2.55,-0.24,0.47,0.14,0.31,0.17
Brasilia,7.01,7.28,9.75,9.0,8.26,7.52,7.69,9.32,9.64,8.54,0.51,0.41,-0.43,0.64,0.28
Zadar,8.33,10.0,8.24,10.0,8.28,7.58,9.34,8.77,10.0,8.92,-0.75,-0.66,0.53,0.0,0.64
Porto Alegre,6.99,7.59,7.87,8.66,7.78,6.98,7.96,7.94,8.78,7.92,-0.01,0.37,0.07,0.12,0.14
Harbin Taiping,10.0,3.82,6.26,4.31,4.8,10.0,4.19,6.1,4.99,6.32,0.0,0.37,-0.16,0.68,1.52
Recife,7.22,9.15,9.52,8.91,8.7,7.16,9.12,9.62,8.49,8.6,-0.06,-0.03,0.1,-0.42,-0.1
Mitilini,7.62,3.3,4.59,7.45,5.74,8.29,2.13,4.99,7.56,5.74,0.67,-1.17,0.4,0.11,0.0
Amritsar,6.11,10.0,1.67,9.6,5.79,5.75,10.0,1.38,9.72,6.71,-0.36,0.0,-0.29,0.12,0.92
Anna,6.11,10.0,1.56,9.31,5.66,6.45,9.9,0.88,9.36,6.65,0.34,-0.1,-0.68,0.05,0.99
Goa,6.11,10.0,1.84,9.67,5.87,6.0,9.95,2.09,9.39,6.86,-0.11,-0.05,0.25,-0.28,0.99
Jaipur,6.11,10.0,1.59,10.0,3.85,5.71,9.83,1.55,9.51,6.65,-0.4,-0.17,-0.04,-0.49,2.8
Karipur,6.11,10.0,1.59,9.47,5.72,6.82,9.1,1.64,9.7,6.82,0.71,-0.9,0.05,0.23,1.1
Lucknow,6.11,10.0,1.57,9.47,5.72,5.29,9.86,1.46,10.0,6.65,-0.82,-0.14,-0.11,0.53,0.93
Mangalore,6.11,10.0,1.6,9.47,5.73,5.53,9.39,1.24,9.33,6.37,-0.58,-0.61,-0.36,-0.14,0.64
Netaji Subhash Chandra Bose Int. Airport,6.11,10.0,1.7,9.31,5.71,6.0,10.0,2.01,9.85,6.96,-0.11,0.0,0.31,0.54,1.25
Sardar Vallabh Bhai Patel,6.11,10.0,1.72,9.67,5.83,6.32,10.0,0.96,9.9,6.8,0.21,0.0,-0.76,0.23,0.97
Trichy,6.11,10.0,1.59,9.31,5.67,5.73,10.0,1.93,9.42,6.77,-0.38,0.0,0.34,0.11,1.1
Granada,6.67,0.51,7.28,9.28,5.94,6.85,0.0,7.94,9.29,6.02,0.18,-0.51,0.66,0.01,0.08
Yinchuan Hedong,5.56,0.09,0.23,0.3,1.54,6.48,0.35,0.08,0.94,1.96,0.92,0.26,-0.15,0.64,0.42
Gaborone,5.56,0.0,0.0,10.0,1.85,6.02,0.0,0.68,9.75,4.11,0.46,0.0,0.68,-0.25,2.26
Haiphong,10.0,0.0,5.23,0.06,1.76,9.5,0.0,4.63,0.64,3.69,-0.5,0.0,-0.6,0.58,1.93
Sierra Leone,6.67,10.0,4.69,9.77,7.04,6.68,9.51,4.73,9.7,7.65,0.01,-0.49,0.04,-0.07,0.61
Chambery,8.33,0.0,0.0,0.0,2.08,8.07,0.0,0.32,0.0,2.1,-0.26,0.0,0.32,0.0,0.02
London Southend Airport,8.33,3.89,5.87,6.55,6.16,8.82,4.16,6.08,6.21,6.32,0.49,0.27,0.21,-0.34,0.16
Bujumbura,6.36,10.0,3.91,8.47,6.25,6.54,10.0,4.24,8.01,7.2,0.18,0.0,0.33,-0.46,0.95
Ixtapa Zihuatanejo,6.57,1.78,4.07,8.17,5.15,7.12,1.78,4.78,8.27,5.49,0.55,0.0,0.71,0.1,0.34
Shizuoka,8.33,10.0,7.84,6.84,7.67,8.53,9.63,8.44,7.48,8.52,0.2,-0.37,0.6,0.64,0.85
Vaxjo,8.33,10.0,0.0,0.0,2.78,8.67,9.18,0.0,0.0,4.46,0.34,-0.82,0.0,0.0,1.68
Basseterre (Saint Kitts),6.81,6.32,4.99,4.58,5.67,5.97,6.47,4.98,4.15,5.39,-0.84,0.15,-0.01,-0.43,-0.28
Strasbourg,7.5,5.83,8.99,8.36,7.67,6.86,5.82,9.31,8.19,7.54,-0.64,-0.01,0.32,-0.17,-0.13
Maputo,8.33,0.0,0.0,0.0,2.08,8.35,0.0,0.0,0.68,2.26,0.02,0.0,0.0,0.68,0.18
Samarkand,6.25,10.0,1.04,6.5,4.6,6.25,10.0,0.67,5.93,5.71,0.0,0.0,-0.37,-0.57,1.11
Denizli Cardak Airport,6.44,0.01,5.77,4.64,4.22,7.01,0.0,6.3,5.12,4.61,0.57,-0.01,0.53,0.48,0.39
Queretaro,6.0,10.0,2.55,5.08,4.54,6.66,9.85,2.13,5.66,6.07,0.66,-0.15,-0.42,0.58,1.53
Shandong,7.5,0.0,0.0,0.0,1.88,7.32,0.47,0.09,0.0,1.97,-0.18,0.47,0.09,0.0,0.09
Kagoshima,4.44,10.0,8.52,5.75,6.24,3.93,8.89,8.46,6.12,6.85,-0.51,-1.11,-0.06,0.37,0.61
Tozeur,7.08,2.0,0.0,0.0,2.27,7.44,1.57,0.0,0.0,2.25,0.36,-0.43,0.0,0.0,-0.02
Kinshasa,7.78,10.0,0.8,1.35,3.31,7.48,9.27,0.0,0.59,4.34,-0.3,-0.73,-0.8,-0.76,1.03
Acapulco,6.52,1.67,1.67,7.52,4.34,5.34,1.02,2.21,6.16,3.68,-1.18,-0.65,0.54,-1.36,-0.66
Samos,6.67,4.2,4.62,7.47,5.74,6.73,4.05,4.73,6.83,5.59,0.06,-0.15,0.11,-0.64,-0.15
Samara,3.33,10.0,4.4,9.9,5.88,3.49,10.0,4.95,10.0,7.11,0.16,0.0,0.55,0.1,1.23
Rosario,5.42,10.0,6.22,9.44,7.03,5.53,9.95,5.77,10.0,7.81,0.11,-0.05,-0.45,0.56,0.78
Cairns,7.78,0.0,6.67,1.15,3.9,8.56,0.0,6.88,1.98,4.36,0.78,0.0,0.21,0.83,0.46
Kalibo,8.33,10.0,8.36,0.0,5.56,7.63,10.0,8.67,0.02,6.58,-0.7,0.0,0.31,0.02,1.02
Lulea,5.83,10.0,7.66,10.0,6.74,6.26,9.71,8.19,10.0,8.54,0.43,-0.29,0.53,0.0,1.8
Nykoping,10.0,10.0,6.57,8.85,7.71,8.97,9.74,5.98,9.39,8.52,-1.03,-0.26,-0.59,0.54,0.81
Quanzhou,6.19,10.0,0.0,0.0,2.06,6.17,10.0,0.0,0.08,4.06,-0.02,0.0,0.0,0.08,2.0
Erfurt,7.78,10.0,0.0,0.0,2.59,7.83,9.64,0.38,0.44,4.57,0.05,-0.36,0.38,0.44,1.98
Sihanoukville,6.19,3.7,0.0,0.0,2.47,5.81,3.68,0.76,0.16,2.6,-0.38,-0.02,0.76,0.16,0.13
Miyazaki,6.67,10.0,2.39,0.99,3.35,6.66,10.0,2.37,0.19,4.81,-0.01,0.0,-0.02,-0.8,1.46
Xuzhou Guanyin,6.0,0.47,0.0,0.75,1.8,5.94,1.06,0.02,0.86,1.97,-0.06,0.59,0.02,0.11,0.17
Karpathos,5.0,0.0,0.0,0.0,1.25,4.86,0.0,0.76,0.1,1.43,-0.14,0.0,0.76,0.1,0.18
Oita,10.0,0.0,3.26,1.38,1.55,8.88,0.0,3.09,0.82,3.2,-1.12,0.0,-0.17,-0.56,1.65
Bariloche,8.33,10.0,5.46,9.41,7.73,9.45,10.0,4.97,9.38,8.45,1.12,0.0,-0.49,-0.03,0.72
Radom,6.11,10.0,0.0,0.0,2.04,6.14,9.5,0.0,0.0,3.91,0.03,-0.5,0.0,0.0,1.87
Aktau,5.83,0.0,0.0,0.0,1.46,6.4,0.0,0.7,0.0,1.78,0.57,0.0,0.7,0.0,0.32
Umea,7.5,7.49,0.0,6.08,5.27,8.17,7.53,0.07,6.4,5.54,0.67,0.04,0.07,0.32,0.27
Fukushima,6.67,0.0,0.0,5.47,3.04,6.62,0.78,0.0,5.53,3.23,-0.05,0.78,0.0,0.06,0.19
Coolangatta,5.56,0.0,4.87,7.2,4.41,5.52,0.0,4.81,7.79,4.53,-0.04,0.0,-0.06,0.59,0.12
Marka,5.42,0.12,0.0,0.0,1.38,5.5,0.0,0.14,0.0,1.41,0.08,-0.12,0.14,0.0,0.03
Ioannina,5.71,9.43,0.0,0.0,3.78,5.18,9.49,0.0,0.16,3.71,-0.53,0.06,0.0,0.16,-0.07
Hatay Airport,5.0,0.0,0.0,0.0,1.25,4.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-0.25
Shymkent,6.67,0.0,0.0,0.0,1.67,7.08,0.25,0.9,0.13,2.09,0.41,0.25,0.9,0.13,0.42
Kazan,6.67,0.0,0.0,0.0,1.67,7.59,0.68,0.0,0.2,2.12,0.92,0.68,0.0,0.2,0.45
Gothenburg,6.67,0.0,5.32,6.39,4.6,6.99,0.08,6.21,5.67,4.74,0.32,0.08,0.89,-0.72,0.14
Luanda ,7.33,10.0,0.87,3.04,3.75,6.39,9.75,1.24,2.87,5.06,-0.94,-0.25,0.37,-0.17,1.31
Manama ,6.04,10.0,4.21,7.99,6.08,6.48,9.63,4.19,7.46,6.94,0.44,-0.37,-0.02,-0.53,0.86
Lanzarote,5.67,6.73,8.87,8.26,7.38,4.34,7.38,9.23,8.36,7.33,-1.33,0.65,0.36,0.1,-0.05
Aarhus,4.44,0.0,0.0,0.0,1.11,5.05,0.5,0.0,0.0,1.39,0.61,0.5,0.0,0.0,0.28
Glasgow Prestwick,6.67,0.86,4.98,0.1,3.15,5.79,1.33,4.98,0.46,3.14,-0.88,0.47,0.0,0.36,-0.01
Queenstown,4.44,10.0,6.65,4.25,5.11,4.49,10.0,6.7,3.23,6.1,0.05,0.0,0.05,-1.02,0.99
Juba,6.3,10.0,8.87,8.11,7.76,5.62,10.0,8.28,8.45,8.09,-0.68,0.0,-0.59,0.34,0.33
